1,date_ymd,time_h:m:s,feeding_time,group_size,group,access_focal,location_focal,condition,cl_distance,cl_height,cp_distance,cp_height,du_distance,du_height,fg_distance,fg_height,fy_distance,fy_height,iz_distance,iz_height,ma_distance,ma_height,me_distance,me_height,pa_distance,pa_height,pe_distance,pe_height,po_distance,po_height,pp_distance,pp_height,rk_distance,rk_height,tr_distance,tr_height,observer_id
1,06/10/2016, 15:30:04,0,4,3,multiple,satellite,sbc, ,,,,,,,,,,,,,,,,,,,,separate_enclosure,ground,separate_enclosure,high,focal,low,3,ground,916
1,06/10/2016, 15:40:04,0,4,3,satellite,satellite,satellite, ,,,,,,,,,,,,,,,,,,,,4,low,not_visible,unknown,2,med,focal,low,916
1,06/10/2016, 15:50:04,0,4,3,satellite,satellite,satellite, ,,,,,,,,,,,,,,,,,,,,focal,low,not_visible,unknown,6,med,14,med,916
1,06/10/2016, 16:00:04,1,4,3,multiple,satellite,sbc, ,,,,,,,,,,,,,,,,,,,,separate_enclosure,ground,focal,med,8,low,separate_enclosure,med,916
1,06/10/2016, 16:02:13,1,3,1,satellite,satellite,satellite, ,,,,,,12,med,focal,low,,,,,,,7,med,,,,,,,,,,,1231
1,06/10/2016, 16:22:13,1,3,1,satellite,satellite,satellite, ,,,,,,focal,med,7,med,,,3,,,,,,,,,,,,,,,,1231
1,06/10/2016, 16:42:13,2,3,1,satellite,satellite,satellite, ,,,,,,focal,med,4,low,,,,,,,5,low,,,,,,,,,,,1231
1,06/10/2016, 16:52:13,2,3,1,satellite,satellite,satellite, ,,,,,,7,med,focal,low,,,,,,,9,low,,,,,,,,,,,1231
1,06/10/2016, 17:02:13,0,3,1,satellite,satellite,satellite, ,,,,,,7,med,12,low,,,,,,,focal,med,,,,,,,,,,,1231
1,06/10/2016, 17:12:13,0,3,1,satellite,satellite,satellite, ,,,,,,focal,med,5,low,,,,,,,6,low,,,,,,,,,,,1231
1,06/10/2016, 17:22:13,0,3,1,satellite,satellite,satellite, ,,,,,,focal,med,6,med,,,,,,,1,med,,,,,,,,,,,1231
1,06/10/2016, 17:42:13,0,3,1,satellite,satellite,satellite, ,,,,,,focal,med,6,ground,,,,,,,6,med,,,,,,,,,,,1231
1,06/10/2016, 17:52:13,0,3,1,satellite,satellite,satellite, ,,,,,,6,med,focal,low,,,,,,,12,med,,,,,,,,,,,1231
1,06/11/2016, 05:58:56,0,2,4,satellite,satellite,satellite, ,,focal,low,,,,,,,8,low,,,,,,,,,,,,,,,,,916
1,06/11/2016, 06:08:56,0,2,4,satellite,satellite,satellite, ,,3,low,,,,,,,focal,med,,,,,,,,,,,,,,,,,916
1,06/11/2016, 06:18:56,0,2,4,satellite,satellite,satellite, ,,focal,med,,,,,,,2,med,,,,,,,,,,,,,,,,,916
1,06/11/2016, 06:28:56,0,2,4,satellite,satellite,satellite, ,,9,med,,,,,,,focal,low,,,,,,,,,,,,,,,,,916
1,06/11/2016, 06:38:56,1,2,4,satellite,satellite,satellite, ,,focal,med,,,,,,,4,med,,,,,,,,,,,,,,,,,916
1,06/11/2016, 06:48:56,1,2,4,satellite,satellite,satellite, ,,4,med,,,,,,,focal,med,,,,,,,,,,,,,,,,,916
1,06/11/2016, 06:58:56,1,2,4,satellite,satellite,satellite, ,,focal,low,,,,,,,5,med,,,,,,,,,,,,,,,,,916
1,06/11/2016, 07:08:56,2,2,4,satellite,satellite,satellite, ,,focal,low,,,,,,,8,med,,,,,,,,,,,,,,,,,916
1,06/11/2016, 07:18:56,2,2,4,satellite,satellite,satellite, ,,5,med,,,,,,,focal,med,,,,,,,,,,,,,,,,,916
1,06/11/2016, 07:28:56,2,2,4,satellite,satellite,satellite, ,,focal,low,,,,,,,7,med,,,,,,,,,,,,,,,,,916
1,06/11/2016, 07:38:56,0,2,4,satellite,satellite,satellite, ,,4,med,,,,,,,focal,med,,,,,,,,,,,,,,,,,916
1,06/11/2016, 07:48:56,0,2,4,satellite,satellite,satellite, ,,focal,low,,,,,,,8,med,,,,,,,,,,,,,,,,,916
1,06/11/2016, 07:58:56,0,2,4,satellite,satellite,satellite, ,,0,med,,,,,,,focal,med,,,,,,,,,,,,,,,,,916
1,06/11/2016, 08:03:48,0,5,2,satellite,satellite,satellite,5,med,,,8,low,,,,,,,focal,med,6,med,,,12,med,,,,,,,,,1231
1,06/11/2016, 08:13:48,0,5,2,satellite,satellite,satellite,6,med,,,focal,ground,,,,,,,6,med,10,med,,,6," """"",,,,,,,,,1231
1,06/11/2016, 08:23:48,0,5,2,satellite,satellite,satellite,6,ground,,,5,low,,,,,,,5,med,focal,med,,,12,med,,,,,,,,,1231
1,06/11/2016, 08:33:48,0,5,2,satellite,satellite,satellite,focal,low,,,13,med,,,,,,,9,med,5,med,,,12,med,,,,,,,,,1231
1,06/11/2016, 08:43:48,0,5,2,satellite,satellite,satellite,5,med,,,2,low,,,,,,,2,low,1,low,,,focal,unknown,,,,,,,,,1231
1,06/11/2016, 08:53:48,0,5,2,satellite,satellite,satellite,3,low,,,8,low,,,,,,,focal,med,3,med,,,9,low,,,,,,,,,1231
1,06/11/2016, 09:03:48,0,5,2,satellite,satellite,satellite,3,med,,,focal,low,,,,,,,8,med,6,med,,,8,med,,,,,,,,,1231
1,06/11/2016, 09:13:48,0,5,2,satellite,satellite,satellite,5,low,,,1," """"",,,,,,,4,med,focal,med,,,1,med,,,,,,,,,1231
1,06/11/2016, 09:23:48,0,5,2,satellite,satellite,satellite,4,low,,,4,med,,,,,,,3,med,focal,med,,,1,med,,,,,,,,,1231
1,06/11/2016, 09:33:48,0,5,2,satellite,satellite,satellite,focal,low,,,7,med,,,,,,,2,med,4,med,,,7,med,,,,,,,,,1231
1,06/11/2016, 09:43:48,0,5,2,satellite,satellite,satellite,9,low,,,8,med,,,,,,,1,med,10,med,,,focal,med,,,,,,,,,1231
1,06/11/2016, 09:53:48,0,5,2,satellite,satellite,satellite,11,low,,,3,med,,,,,,,focal,med,5,low,,,14,low,,,,,,,,,1231
1,06/12/2016, 07:22:55,2,4,3,multiple,center,cbc, ,,,,,,,,,,,,,,,,,,,,not_visible,unknown,focal,med,separate_enclosure,low,separate_enclosure,low,1231
1,06/12/2016, 07:32:55,0,4,3,multiple,center,cbc, ,,,,,,,,,,,,,,,,,,,,not_visible,unknown,focal,med,separate_enclosure,med,separate_enclosure,med,1231
1,06/12/2016, 07:42:55,0,4,3,multiple,satellite,sbc, ,,,,,,,,,,,,,,,,,,,,separate_enclosure,ground,separate_enclosure,med,10,low,focal,med,1231
1,06/12/2016, 07:52:55,0,4,3,multiple,satellite,sbc, ,,,,,,,,,,,,,,,,,,,,6,low,separate_enclosure,med,12,med,focal,med,1231
1,06/12/2016, 08:49:01,0,3,1,satellite,satellite,satellite, ,,,,,,focal,low,0,low,,,,,,,9,med,,,,,,,,,,,916
1,06/12/2016, 08:59:01,0,3,1,satellite,satellite,satellite, ,,,,,,4,med,focal,low,,,,,,,8,med,,,,,,,,,,,916
1,06/12/2016, 09:09:01,0,3,1,satellite,satellite,satellite, ,,,,,,2,low,4,low,,,,,,,focal,med,,,,,,,,,,,916
1,06/12/2016, 09:19:01,0,3,1,satellite,satellite,satellite, ,,,,,,focal,low,3,low,,,,,,,8,med,,,,,,,,,,,916
1,06/12/2016, 09:29:01,0,3,1,satellite,satellite,satellite, ,,,,,,7,med,focal,low,,,,,,,7,med,,,,,,,,,,,916
1,06/12/2016, 09:39:01,0,3,1,satellite,satellite,satellite, ,,,,,,3,med,2,med,,,,,,,focal,med,,,,,,,,,,,916
1,06/12/2016, 09:49:01,0,3,1,satellite,satellite,satellite, ,,,,,,focal,low,0,low,,,,,,,7,med,,,,,,,,,,,916
1,06/12/2016, 09:59:01,0,3,1,satellite,satellite,satellite, ,,,,,,4,low,focal,low,,,,,,,7,low,,,,,,,,,,,916
1,06/12/2016, 10:09:01,1,3,1,satellite,satellite,satellite, ,,,,,,5,low,3,low,,,,,,,focal,med,,,,,,,,,,,916
1,06/12/2016, 10:19:01,1,3,1,satellite,satellite,satellite, ,,,,,,focal,low,2,low,,,,,,,2,med,,,,,,,,,,,916
1,06/12/2016, 10:29:01,1,3,1,satellite,satellite,satellite, ,,,,,,1,med,3,low,,,,,,,focal,med,,,,,,,,,,,916
1,06/12/2016, 10:39:01,2,3,1,center,center,center, ,,,,,,focal,med,1,med,,,,,,,3,low,,,,,,,,,,,916
1,06/12/2016, 13:48:03,0,5,2,satellite,satellite,satellite,focal,low,,,6,med,,,,,,,9,med,4,med,,,7,med,,,,,,,,,916
1,06/12/2016, 13:58:03,0,5,2,satellite,satellite,satellite,4,med,,,focal,med,,,,,,,5,med,8,med,,,0,med,,,,,,,,,916
1,06/12/2016, 14:08:03,1,5,2,satellite,satellite,satellite,8,med,,,4,med,,,,,,,focal,med,5,low,,,4,low,,,,,,,,,916
1,06/12/2016, 14:18:03,1,5,2,satellite,satellite,satellite,2,med,,,5,med,,,,,,,5,ground,focal,med,,,7,low,,,,,,,,,916
