record,observer_id,date,time,time_meal,enclosure_access,location,focal_id,actor_id,receiver_id,duration_sec,occurrences,behavior,condition,activity,behavior_modifier,,,,
578,916,06/10/2016,9:18:44,none,both_enclosures,satellite,RK,RK,,0,1,v_whinny,sbc,vocalization,,,,,
580,916,06/10/2016,9:20:36,none,both_enclosures,satellite,RK,RK,RK,12.949,1,sdb_groom,sbc,self_directed,,,,,
582,916,06/10/2016,9:20:49,none,both_enclosures,satellite,RK,RK,,24.224,1,inactive,sbc,inactive,,,,,
584,916,06/10/2016,9:21:14,none,both_enclosures,satellite,RK,RK,RK,7.628,1,sdb_groom,sbc,self_directed,,,,,
586,916,06/10/2016,9:21:21,none,both_enclosures,satellite,RK,RK,RK,12.223,1,sdb_yawn,sbc,other,,,,,
588,916,06/10/2016,9:21:34,none,both_enclosures,satellite,RK,RK,,282.795,1,inactive,sbc,inactive,,,,,
589,916,06/10/2016,9:22:15,none,both_enclosures,satellite,RK,RK,,0,1,v_whinny,sbc,vocalization,,,,,
590,916,06/10/2016,9:23:29,none,both_enclosures,satellite,RK,RK,,0,1,v_whinny,sbc,vocalization,,,,,
591,916,06/10/2016,9:25:04,none,both_enclosures,satellite,RK,RK,,0,1,v_whinny,sbc,vocalization,,,,,
593,916,06/10/2016,9:26:16,none,both_enclosures,satellite,RK,RK,RK,8.139,1,sdb_scratching,sbc,self_directed,,,,,
595,916,06/10/2016,9:26:24,none,both_enclosures,satellite,RK,RK,,5.706,1,inactive,sbc,inactive,,,,,
600,916,06/10/2016,9:27:22,none,both_enclosures,center,PP,PP,,45.349,1,inactive,cbc,inactive,,,,,
602,916,06/10/2016,9:28:07,none,both_enclosures,center,PP,PP,PP,4.266,1,sdb_yawn,cbc,other,,,,,
604,916,06/10/2016,9:28:11,none,both_enclosures,center,PP,PP,,75.383,1,inactive,cbc,inactive,,,,,
606,916,06/10/2016,9:29:27,none,both_enclosures,center,PP,PP,PP,3.49,1,sdb_scratching,cbc,self_directed,,,,,
608,916,06/10/2016,9:29:30,none,both_enclosures,center,PP,PP,,5.318,1,movement,cbc,movement,,,,,
610,916,06/10/2016,9:29:36,none,both_enclosures,center,PP,PP,,929.818,1,inactive,cbc,inactive,,,,,
611,916,06/10/2016,9:29:51,none,both_enclosures,center,PP,PP,,0,1,v_whinny,cbc,vocalization,,,,,
612,916,06/10/2016,9:41:59,none,both_enclosures,center,PP,PP,,0,1,v_whinny,cbc,vocalization,,,,,
614,916,06/10/2016,9:45:05,none,both_enclosures,center,PP,PP,PP,5.854,1,sdb_scratching,cbc,self_directed,,,,,
616,916,06/10/2016,9:45:11,none,both_enclosures,center,PP,PP,,112.132,1,inactive,cbc,inactive,,,,,
617,916,06/10/2016,9:46:25,none,both_enclosures,center,PP,PP,,0,1,v_whinny,cbc,vocalization,,,,,
622,916,06/10/2016,9:48:06,none,both_enclosures,center,PO,PO,,44.296,1,inactive,cbc,inactive,,,,,
624,916,06/10/2016,9:48:51,none,both_enclosures,center,PO,PO,,41.392,1,feed,cbc,forage,,,,,
626,916,06/10/2016,9:49:32,none,both_enclosures,center,PO,PO,,7.779,1,inactive,cbc,inactive,,,,,
