record,observer_id,date,period,month,time,time_meal,enclosure_access,n_encl,location,focal_id,actor_id,receiver_id,duration_sec,occurrences,behavior,condition,activity,behavior_modifier,focal_sex,focal_group,focal_age
563,916,06/10/2016,jun-jul,1,9:09:35,none,both_enclosures,2,satellite,RK,RK,,193.404,1,inactive,sbc,inactive,,female,sat3,adult
564,916,06/10/2016,jun-jul,1,9:09:51,none,both_enclosures,2,satellite,RK,RK,,0,1,v_whinny,sbc,vocalization,,female,sat3,adult
566,916,06/10/2016,jun-jul,1,9:12:48,none,both_enclosures,2,satellite,RK,RK,,15.981,1,feed,sbc,forage,,female,sat3,adult
568,916,06/10/2016,jun-jul,1,9:13:04,none,both_enclosures,2,satellite,RK,RK,,223.805,1,inactive,sbc,inactive,,female,sat3,adult
569,916,06/10/2016,jun-jul,1,9:13:09,none,both_enclosures,2,satellite,RK,RK,,0,1,v_whinny,sbc,vocalization,,female,sat3,adult
570,916,06/10/2016,jun-jul,1,9:13:37,none,both_enclosures,2,satellite,RK,RK,,0,1,v_whinny,sbc,vocalization,,female,sat3,adult
571,916,06/10/2016,jun-jul,1,9:13:44,none,both_enclosures,2,satellite,RK,RK,,0,1,v_whinny,sbc,vocalization,,female,sat3,adult
572,916,06/10/2016,jun-jul,1,9:15:28,none,both_enclosures,2,satellite,RK,RK,,0,1,v_whinny,sbc,vocalization,,female,sat3,adult
574,916,06/10/2016,jun-jul,1,9:16:48,none,both_enclosures,2,satellite,RK,RK,,5.793,1,movement,sbc,movement,,female,sat3,adult
575,916,06/10/2016,jun-jul,1,9:16:51,none,both_enclosures,2,satellite,RK,RK,,0,1,v_whinny,sbc,vocalization,,female,sat3,adult
577,916,06/10/2016,jun-jul,1,9:16:54,none,both_enclosures,2,satellite,RK,RK,,222.822,1,inactive,sbc,inactive,,female,sat3,adult
578,916,06/10/2016,jun-jul,1,9:18:44,none,both_enclosures,2,satellite,RK,RK,,0,1,v_whinny,sbc,vocalization,,female,sat3,adult
580,916,06/10/2016,jun-jul,1,9:20:36,none,both_enclosures,2,satellite,RK,RK,RK,12.949,1,sdb_groom,sbc,self_directed,,female,sat3,adult
582,916,06/10/2016,jun-jul,1,9:20:49,none,both_enclosures,2,satellite,RK,RK,,24.224,1,inactive,sbc,inactive,,female,sat3,adult
584,916,06/10/2016,jun-jul,1,9:21:14,none,both_enclosures,2,satellite,RK,RK,RK,7.628,1,sdb_groom,sbc,self_directed,,female,sat3,adult
586,916,06/10/2016,jun-jul,1,9:21:21,none,both_enclosures,2,satellite,RK,RK,RK,12.223,1,sdb_yawn,sbc,other,,female,sat3,adult
588,916,06/10/2016,jun-jul,1,9:21:34,none,both_enclosures,2,satellite,RK,RK,,282.795,1,inactive,sbc,inactive,,female,sat3,adult
589,916,06/10/2016,jun-jul,1,9:22:15,none,both_enclosures,2,satellite,RK,RK,,0,1,v_whinny,sbc,vocalization,,female,sat3,adult
590,916,06/10/2016,jun-jul,1,9:23:29,none,both_enclosures,2,satellite,RK,RK,,0,1,v_whinny,sbc,vocalization,,female,sat3,adult
591,916,06/10/2016,jun-jul,1,9:25:04,none,both_enclosures,2,satellite,RK,RK,,0,1,v_whinny,sbc,vocalization,,female,sat3,adult
593,916,06/10/2016,jun-jul,1,9:26:16,none,both_enclosures,2,satellite,RK,RK,RK,8.139,1,sdb_scratching,sbc,self_directed,,female,sat3,adult
595,916,06/10/2016,jun-jul,1,9:26:24,none,both_enclosures,2,satellite,RK,RK,,5.706,1,inactive,sbc,inactive,,female,sat3,adult
600,916,06/10/2016,jun-jul,1,9:27:22,none,both_enclosures,2,center,PP,PP,,45.349,1,inactive,cbc,inactive,,female,sat3,adult
602,916,06/10/2016,jun-jul,1,9:28:07,none,both_enclosures,2,center,PP,PP,PP,4.266,1,sdb_yawn,cbc,other,,female,sat3,adult
604,916,06/10/2016,jun-jul,1,9:28:11,none,both_enclosures,2,center,PP,PP,,75.383,1,inactive,cbc,inactive,,female,sat3,adult
606,916,06/10/2016,jun-jul,1,9:29:27,none,both_enclosures,2,center,PP,PP,PP,3.49,1,sdb_scratching,cbc,self_directed,,female,sat3,adult
608,916,06/10/2016,jun-jul,1,9:29:30,none,both_enclosures,2,center,PP,PP,,5.318,1,movement,cbc,movement,,female,sat3,adult
610,916,06/10/2016,jun-jul,1,9:29:36,none,both_enclosures,2,center,PP,PP,,929.818,1,inactive,cbc,inactive,,female,sat3,adult
611,916,06/10/2016,jun-jul,1,9:29:51,none,both_enclosures,2,center,PP,PP,,0,1,v_whinny,cbc,vocalization,,female,sat3,adult
612,916,06/10/2016,jun-jul,1,9:41:59,none,both_enclosures,2,center,PP,PP,,0,1,v_whinny,cbc,vocalization,,female,sat3,adult
614,916,06/10/2016,jun-jul,1,9:45:05,none,both_enclosures,2,center,PP,PP,PP,5.854,1,sdb_scratching,cbc,self_directed,,female,sat3,adult
616,916,06/10/2016,jun-jul,1,9:45:11,none,both_enclosures,2,center,PP,PP,,112.132,1,inactive,cbc,inactive,,female,sat3,adult
617,916,06/10/2016,jun-jul,1,9:46:25,none,both_enclosures,2,center,PP,PP,,0,1,v_whinny,cbc,vocalization,,female,sat3,adult
622,916,06/10/2016,jun-jul,1,9:48:06,none,both_enclosures,2,center,PO,PO,,44.296,1,inactive,cbc,inactive,,male,sat3,adult
624,916,06/10/2016,jun-jul,1,9:48:51,none,both_enclosures,2,center,PO,PO,,41.392,1,feed,cbc,forage,,male,sat3,adult
626,916,06/10/2016,jun-jul,1,9:49:32,none,both_enclosures,2,center,PO,PO,,7.779,1,inactive,cbc,inactive,,male,sat3,adult
628,916,06/10/2016,jun-jul,1,9:49:40,none,both_enclosures,2,center,PO,PO,,40.115,1,feed,cbc,forage,,male,sat3,adult
630,916,06/10/2016,jun-jul,1,9:50:20,none,both_enclosures,2,center,PO,PO,,22.841,1,inactive,cbc,inactive,,male,sat3,adult
632,916,06/10/2016,jun-jul,1,9:50:43,none,both_enclosures,2,center,PO,PO,,106.65,1,feed,cbc,forage,,male,sat3,adult
634,916,06/10/2016,jun-jul,1,9:52:30,none,both_enclosures,2,center,PO,PO,,24.037,1,movement,cbc,movement,,male,sat3,adult
636,916,06/10/2016,jun-jul,1,9:52:54,none,both_enclosures,2,center,PO,PO,,25.009,1,feed,cbc,forage,,male,sat3,adult
639,916,06/10/2016,jun-jul,1,9:53:19,none,both_enclosures,2,satellite,PO,PO,PO,77.208,1,sdb_yawn,sbc,other,,male,sat3,adult
641,916,06/10/2016,jun-jul,1,9:54:36,none,both_enclosures,2,satellite,PO,PO,,141.606,1,feed,sbc,forage,,male,sat3,adult
643,916,06/10/2016,jun-jul,1,9:56:57,none,both_enclosures,2,satellite,PO,PO,,8.748,1,movement,sbc,movement,,male,sat3,adult
645,916,06/10/2016,jun-jul,1,9:57:06,none,both_enclosures,2,satellite,PO,PO,,128.056,1,feed,sbc,forage,,male,sat3,adult
647,916,06/10/2016,jun-jul,1,9:59:14,none,both_enclosures,2,satellite,PO,PO,,14.791,1,movement,sbc,movement,,male,sat3,adult
649,916,06/10/2016,jun-jul,1,9:59:29,none,both_enclosures,2,satellite,PO,PO,,21.159,1,feed,sbc,forage,,male,sat3,adult
652,916,06/10/2016,jun-jul,1,9:59:50,none,both_enclosures,2,center,PO,PO,,10.914,1,movement,cbc,movement,,male,sat3,adult
654,916,06/10/2016,jun-jul,1,10:00:01,none,both_enclosures,2,center,PO,PO,,16.828,1,inactive,cbc,inactive,,male,sat3,adult
656,916,06/10/2016,jun-jul,1,10:00:18,none,both_enclosures,2,center,PO,PO,,2.304,1,feed,cbc,forage,,male,sat3,adult
658,916,06/10/2016,jun-jul,1,10:00:20,none,both_enclosures,2,center,PO,PO,,11.051,1,movement,cbc,movement,,male,sat3,adult
660,916,06/10/2016,jun-jul,1,10:00:31,none,both_enclosures,2,center,PO,PO,,23.375,1,inactive,cbc,inactive,,male,sat3,adult
662,916,06/10/2016,jun-jul,1,10:00:55,none,both_enclosures,2,center,PO,PO,,6.701,1,feed,cbc,forage,,male,sat3,adult
664,916,06/10/2016,jun-jul,1,10:01:01,none,both_enclosures,2,center,PO,PO,,14.562,1,movement,cbc,movement,,male,sat3,adult
666,916,06/10/2016,jun-jul,1,10:01:16,none,both_enclosures,2,center,PO,PO,,4.173,1,inactive,cbc,inactive,,male,sat3,adult
668,916,06/10/2016,jun-jul,1,10:01:20,none,both_enclosures,2,center,PO,PO,PO,4.773,1,sdb_scratching,cbc,self_directed,,male,sat3,adult
670,916,06/10/2016,jun-jul,1,10:01:25,none,both_enclosures,2,center,PO,PO,,10.988,1,movement,cbc,movement,,male,sat3,adult
672,916,06/10/2016,jun-jul,1,10:01:36,none,both_enclosures,2,center,PO,PO,,112.515,1,inactive,cbc,inactive,,male,sat3,adult
674,916,06/10/2016,jun-jul,1,10:03:28,none,both_enclosures,2,center,PO,PO,,4.279,1,feed,cbc,forage,,male,sat3,adult
676,916,06/10/2016,jun-jul,1,10:03:33,none,both_enclosures,2,center,PO,PO,,76.579,1,inactive,cbc,inactive,,male,sat3,adult
678,916,06/10/2016,jun-jul,1,10:04:49,none,both_enclosures,2,center,PO,PO,,6.72,1,feed,cbc,forage,,male,sat3,adult
680,916,06/10/2016,jun-jul,1,10:04:56,none,both_enclosures,2,center,PO,PO,,24.738,1,movement,cbc,movement,,male,sat3,adult
683,916,06/10/2016,jun-jul,1,10:05:21,none,both_enclosures,2,satellite,PO,PO,,15.37,1,stb_swinging,sbc,abnormal,,male,sat3,adult
685,916,06/10/2016,jun-jul,1,10:05:36,none,both_enclosures,2,satellite,PO,PO,PO,18.409,1,sdb_yawn,sbc,other,,male,sat3,adult
687,916,06/10/2016,jun-jul,1,10:05:54,none,both_enclosures,2,satellite,PO,PO,PO,11.455,1,sdb_scratching,sbc,self_directed,,male,sat3,adult
689,916,06/10/2016,jun-jul,1,10:06:06,none,both_enclosures,2,satellite,PO,PO,PO,7.203,1,sdb_yawn,sbc,other,,male,sat3,adult
691,916,06/10/2016,jun-jul,1,10:06:13,none,both_enclosures,2,satellite,PO,PO,,11.825,1,inactive,sbc,inactive,,male,sat3,adult
693,916,06/10/2016,jun-jul,1,10:06:25,none,both_enclosures,2,satellite,PO,PO,PO,12.649,1,sdb_scratching,sbc,self_directed,,male,sat3,adult
695,916,06/10/2016,jun-jul,1,10:06:38,none,both_enclosures,2,satellite,PO,PO,,42.242,1,inactive,sbc,inactive,,male,sat3,adult
697,916,06/10/2016,jun-jul,1,10:07:20,before,both_enclosures,2,satellite,PO,PO,,38.192,1,feed,sbc,forage,,male,sat3,adult
702,916,06/10/2016,jun-jul,1,10:08:44,before,both_enclosures,2,center,TR,TR,,630.867,1,inactive,cbc,inactive,,female,sat3,adult
703,916,06/10/2016,jun-jul,1,10:11:55,before,both_enclosures,2,center,TR,TR,,0,1,v_whinny,cbc,vocalization,,female,sat3,adult
705,916,06/10/2016,jun-jul,1,10:19:15,before,both_enclosures,2,center,TR,TR,TR,8.608,1,sdb_scratching,cbc,self_directed,,female,sat3,adult
707,916,06/10/2016,jun-jul,1,10:19:24,before,both_enclosures,2,center,TR,TR,,10.501,1,inactive,cbc,inactive,,female,sat3,adult
709,916,06/10/2016,jun-jul,1,10:19:34,before,both_enclosures,2,center,TR,TR,TR,4.392,1,sdb_scratching,cbc,self_directed,,female,sat3,adult
711,916,06/10/2016,jun-jul,1,10:19:39,before,both_enclosures,2,center,TR,TR,,4.001,1,inactive,cbc,inactive,,female,sat3,adult
713,916,06/10/2016,jun-jul,1,10:19:43,before,both_enclosures,2,center,TR,TR,TR,3.465,1,sdb_scratching,cbc,self_directed,,female,sat3,adult
715,916,06/10/2016,jun-jul,1,10:19:46,before,both_enclosures,2,center,TR,TR,,163.883,1,inactive,cbc,inactive,,female,sat3,adult
716,916,06/10/2016,jun-jul,1,10:22:05,before,both_enclosures,2,center,TR,TR,,388.871,1,feed,cbc,forage,,female,sat3,adult
719,916,06/10/2016,jun-jul,1,10:22:30,before,both_enclosures,2,center,TR,TR,TR,164.555,1,sdb_scratching,cbc,self_directed,,female,sat3,adult
721,916,06/10/2016,jun-jul,1,10:25:15,before,both_enclosures,2,center,TR,TR,,124.896,1,inactive,cbc,inactive,,female,sat3,adult
723,916,06/10/2016,jun-jul,1,10:27:19,before,both_enclosures,2,center,TR,TR,TR,4.912,1,sdb_scratching,cbc,self_directed,,female,sat3,adult
725,916,06/10/2016,jun-jul,1,10:27:24,before,both_enclosures,2,center,TR,TR,,69.911,1,inactive,cbc,inactive,,female,sat3,adult
731,1231,06/10/2016,jun-jul,1,13:59:49,none,satellite_only,1,satellite,CL,CL,,5.347,1,feed,satellite,forage,,male,sat2,subadult
733,1231,06/10/2016,jun-jul,1,13:59:54,none,satellite_only,1,satellite,CL,CL,HUMAN,4.166,1,human_interaction,satellite,caregiver,,male,sat2,subadult
735,1231,06/10/2016,jun-jul,1,13:59:58,none,satellite_only,1,satellite,CL,CL,,79.427,1,feed,satellite,forage,,male,sat2,subadult
737,1231,06/10/2016,jun-jul,1,14:01:18,none,satellite_only,1,satellite,CL,CL,CL,5.66,1,sdb_scratching,satellite,self_directed,,male,sat2,subadult
739,1231,06/10/2016,jun-jul,1,14:01:23,none,satellite_only,1,satellite,CL,CL,,28.773,1,feed,satellite,forage,,male,sat2,subadult
741,1231,06/10/2016,jun-jul,1,14:01:52,none,satellite_only,1,satellite,CL,CL,HUMAN,3.392,1,human_interaction,satellite,caregiver,,male,sat2,subadult
743,1231,06/10/2016,jun-jul,1,14:01:55,none,satellite_only,1,satellite,CL,CL,,170.153,1,feed,satellite,forage,,male,sat2,subadult
745,1231,06/10/2016,jun-jul,1,14:04:46,none,satellite_only,1,satellite,CL,CL,CL,13.129,1,sdb_groom,satellite,self_directed,,male,sat2,subadult
747,1231,06/10/2016,jun-jul,1,14:04:59,none,satellite_only,1,satellite,CL,CL,,54.367,1,feed,satellite,forage,,male,sat2,subadult
749,1231,06/10/2016,jun-jul,1,14:05:53,none,satellite_only,1,satellite,CL,CL,,7.079,1,inactive,satellite,inactive,,male,sat2,subadult
751,1231,06/10/2016,jun-jul,1,14:06:00,none,satellite_only,1,satellite,CL,CL,,111.102,1,feed,satellite,forage,,male,sat2,subadult
753,1231,06/10/2016,jun-jul,1,14:07:51,none,satellite_only,1,satellite,CL,CL,,25.534,1,inactive,satellite,inactive,,male,sat2,subadult
755,1231,06/10/2016,jun-jul,1,14:08:17,none,satellite_only,1,satellite,CL,CL,,90.413,1,feed,satellite,forage,,male,sat2,subadult
757,1231,06/10/2016,jun-jul,1,14:09:47,none,satellite_only,1,satellite,CL,CL,,3.497,1,inactive,satellite,inactive,,male,sat2,subadult
759,1231,06/10/2016,jun-jul,1,14:09:51,none,satellite_only,1,satellite,CL,CL,,30.823,1,feed,satellite,forage,,male,sat2,subadult
761,1231,06/10/2016,jun-jul,1,14:10:21,none,satellite_only,1,satellite,CL,CL,,86.091,1,inactive,satellite,inactive,,male,sat2,subadult
763,1231,06/10/2016,jun-jul,1,14:11:48,before,satellite_only,1,satellite,CL,CL,HUMAN,4.035,1,human_interaction,satellite,caregiver,,male,sat2,subadult
765,1231,06/10/2016,jun-jul,1,14:11:52,before,satellite_only,1,satellite,CL,CL,,61.444,1,inactive,satellite,inactive,,male,sat2,subadult
767,1231,06/10/2016,jun-jul,1,14:12:53,before,satellite_only,1,satellite,CL,CL,HUMAN,3.789,1,human_interaction,satellite,caregiver,,male,sat2,subadult
769,1231,06/10/2016,jun-jul,1,14:12:57,before,satellite_only,1,satellite,CL,CL,,50.507,1,inactive,satellite,inactive,,male,sat2,subadult
771,1231,06/10/2016,jun-jul,1,14:13:47,before,satellite_only,1,satellite,CL,CL,HUMAN,3.704,1,human_interaction,satellite,caregiver,,male,sat2,subadult
773,1231,06/10/2016,jun-jul,1,14:13:51,before,satellite_only,1,satellite,CL,CL,,10.756,1,inactive,satellite,inactive,,male,sat2,subadult
775,1231,06/10/2016,jun-jul,1,14:14:02,before,satellite_only,1,satellite,CL,CL,,10.812,1,movement,satellite,movement,,male,sat2,subadult
